project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Phased Gas Pipeline Network,Coega–Richards Bay Gas Pipeline,gas_pipeline,,Transnet [100.00%],South Africa,proposed,,,,,line,nan,nan,"-33.794416,25.680922:-28.81787,32.064359",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
Phased Gas Pipeline Network,Saldanha–Coega Inland Corridor Gas Pipeline,gas_pipeline,,Transnet [100.00%],South Africa,proposed,,,,,line,nan,nan,"-33.88492080777794,19.050520071302213:-32.77413006001919,19.967170085231015:-32.41451849006582,21.53457163576577:-32.29038440550202,23.24191975331255:-32.396795482360304,24.20055373734496:-32.926967696836655,24.620393438381054:-33.47149431571451,24.68336939353647",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
Phased Gas Pipeline Network,Richards Bay–Gauteng Gas Pipeline,gas_pipeline,,Transnet [100.00%],South Africa,proposed,,,,,line,nan,nan,"-28.81787,32.064359:-26.547864,29.172917:-26.809005,27.854889",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
Phased Gas Pipeline Network,Saldanha–Mossel Bay Gas Pipeline,gas_pipeline,,Transnet [100.00%],South Africa,proposed,,,,,line,nan,nan,"-32.973567,18.031326:-34.147236,22.108545",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
Phased Gas Pipeline Network,Rompco Gas Pipeline,gas_pipeline,,Transnet [100.00%],South Africa,proposed,,,,,line,nan,nan,"-24.946674341124034,31.998798801035356:-25.469482913796927,30.968316200774126:-26.522220863170052,29.188512020760903:-26.823376188732706,28.734325461246314",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
Phased Gas Pipeline Network,Mossel Bay–Coega Gas Pipeline,gas_pipeline,,Transnet [100.00%],South Africa,proposed,,,,,line,nan,nan,"-34.147236,22.108545:-33.794416,25.680922",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
Phased Gas Pipeline Network,Abraham Villiers Bay–Oranjemund,gas_pipeline,,Transgaz [100.00%],"South Africa, Namibia",proposed,,,,,line,nan,nan,"-28.609291,16.417535:-30.979993,17.665794",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
Phased Gas Pipeline Network,Abraham Villiers Bay–Saldanha Gas Pipeline,gas_pipeline,,Transnet [100.00%],South Africa,proposed,,,,,line,nan,nan,"-30.979993,17.665794:-32.973567,18.031326",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
Phased Gas Pipeline Network,Mozambique–Richards Bay Gas Pipeline,gas_pipeline,,Transnet [100.00%],South Africa,proposed,,,,,line,nan,nan,"-26.873543416020315,32.36893519069871:-28.792092585851805,32.03328789784997",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
Phased Gas Pipeline Network,Saldanha–Ankerlig Gas Pipeline,gas_pipeline,,Transnet [100.00%],South Africa,proposed,,,,,line,nan,nan,"-32.973567,18.031326:-33.58743,18.464379",https://gem.wiki/Phased_Gas_Pipeline_Network,proposed_plus
