project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,status
Abiteye,,gas_extraction_area,,,Nigeria,operating,,,1.20,million boe/y,point,5.663,5.296,,https://www.gem.wiki/Abiteye_Oil_and_Gas_Field_(Nigeria),operating
Abo,,gas_extraction_area,Eni S.P.A. (85%);Oando Energy Resources (15%),Eni S.P.A. (85%);Oando Energy Resources (15%),Nigeria,operating,2003,,9.96,million boe/y,point,5.761,4.466,,https://www.gem.wiki/Abo_Oil_and_Gas_Field_(Nigeria),operating
Abu Attifel,,gas_extraction_area,Mellitah Oil & Gas (100%),Eni (15%);National Oil Corporation (Libya) (85%),Libya,operating,1972,,57.32,million boe/y,point,26.418,18.37,,https://www.gem.wiki/Bu_Attifel_Oil_Field_(Libya),operating
Abu El Gharadig,,gas_extraction_area,Apache Egypt (66.7%);SINOPEC (33.3%),APA Coropration (66.7%),Egypt,operating,1973,,2.11,million boe/y,point,29.672,28.534,,https://www.gem.wiki/Abu_El_Gharadig_Oil_and_Gas_Field_(Egypt),operating
Abu Madi,,gas_extraction_area,Eni S.P.A. (75%);BP (25%),Eni S.P.A. (75%);BP P.L.C. (25%),Egypt,operating,1975,,1.00,million boe/y,point,31.361,31.178,,https://www.gem.wiki/Abu_Madi_Oil_and_Gas_Field_(Egypt),operating
Abu Qir,,gas_extraction_area,Energean (100%),Energean (100%),Egypt,operating,1987,,,,point,27.219,30.232,,https://www.gem.wiki/Abu_Qir_Gas_Field_(Egypt),operating
Adanga,,gas_extraction_area,,,Nigeria,operating,,,5.33,million boe/y,point,4.308,8.339,,https://www.gem.wiki/Adanga_Oil_and_Gas_Field_(Nigeria),operating
Adanga South,,gas_extraction_area,,,Nigeria,operating,,,2.62,million boe/y,point,4.8765,7.2907,,https://www.gem.wiki/Adanga_South_Oil_and_Gas_Field_(Nigeria),operating
Adua,,gas_extraction_area,,,Nigeria,operating,,,4.76,million boe/y,point,4.1078,7.6988,,https://www.gem.wiki/Adua_Oil_and_Gas_Field_(Nigeria),operating
Agbada,,gas_extraction_area,TNOG Oil and Gas Limited (45%);Nigerian National Petroleum Corporation (55%),Nigerian National Petroleum Corporation (55%),Nigeria,operating,,,9.89,million boe/y,point,4.937,6.975,,https://www.gem.wiki/Agbada_Oil_and_Gas_Field_(Nigeria),operating
Agbami,,gas_extraction_area,Chevron (67.3%);Equinor (20.2%);Petrobras (12.5%),Chevron Corporation (67.3%);Equinor ASA (20.2%);Petrobras (12.5%);Petróleo Brasileiro S.A. (12.5%),Nigeria,operating,2008,,78.29,million boe/y,point,3.429,5.55,,https://www.gem.wiki/Agbami_Oil_and_Gas_Field_(Nigeria),operating
Agbara,,gas_extraction_area,,,Nigeria,operating,,,4.91,million boe/y,point,3.928,6.386,,https://www.gem.wiki/Agbara_Oil_and_Gas_Field_(Nigeria),operating
Ahnet,,gas_extraction_area,,,Algeria,in development,2025 (expected),,,,point,24,2,,https://www.gem.wiki/Ahnet_Gas_Field_(Algeria),construction_plus
Ain Tsila,,gas_extraction_area,Petroceltic (38.3%);Enel (18.4%);Sonatrach (43.4%),Worldview Capital Management group (38.3%);Enel Spa (18.4%);Sonatrach SPA (43.4%),Algeria,in development,2022 (expected),,,,point,27.693,8.012,,https://www.gem.wiki/Ain_Tsila_Oil_and_Gas_Field_(Algeria),construction_plus
Akaso,,gas_extraction_area,Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Nigeria,operating,,,,,point,4.5357,7.0103,,https://www.gem.wiki/Akaso_Oil_and_Gas_Field_(Nigeria),operating
Akpo,,gas_extraction_area,TotalEnergies Upstream Nigeria Limited (24%);Nigerian National Petroleum Corporation (10%);South Atlantic Petroleum (SAPETRO) (5%);CNOOC Limited (45%);Petrobras (16%),TotalEnergies (24%);Nigerian National Petroleum Corporation (10%);South Atlantic Petroleum (5%);CNOOC Limited (45%);Petrobras (16%);Petróleo Brasileiro S.A. (16%),Nigeria,operating,2009,,121.80,million boe/y,point,3.087,6.811,,https://www.gem.wiki/Akpo_Oil_and_Gas_Field_(Nigeria),operating
Al Karam,,gas_extraction_area,Egyptian General Petroleum Corporation (EGPC);Shell Egypt,Egyptian General Petroleum Corporation (EGPC);Shell plc,Egypt,operating,,,,,point,27.219,30.232,,https://www.gem.wiki/Al_Karam_Oil_and_Gas_Field_(Egypt),operating
Alrar,,gas_extraction_area,Sonatrach (100%),Sonatrach SPA (100%),Algeria,operating,1987,,53.04,million boe/y,point,28.561,9.645,,https://www.gem.wiki/Alrar_Gas_Field_(Algeria),operating
Amenam-Kpono,,gas_extraction_area,Nigerian National Petroleum Corporation (60%);TotalEnergies E&P Nigeria Limited (40%),Nigerian National Petroleum Corporation (60%);TotalEnergies (40%),Nigeria,operating,2003,,23.86,million boe/y,point,4.0855,7.3064,,https://www.gem.wiki/Amenam-Kpono_Oil_and_Gas_Field_(Nigeria),operating
Amoji/Matsogo/Igbolo,,gas_extraction_area,Swift Oil Limited (60%),Swift Oil Limited (60%),Nigeria,operating,,,,,point,8.6806,7.5529,,https://www.gem.wiki/Amoji/Matsogo/Igbolo_Oil_and_Gas_Project_(Nigeria),operating
Anchois Phase 1,,gas_extraction_area,,,Morocco,discovered,2027,,,,point,35.18,-6.3636,,https://www.gem.wiki/Anchois_Phase_1_Gas_Field_(Morocco),proposed_plus
Anieze,,gas_extraction_area,Sterling Exploration and Energy Production Limited (80%);Allene Energy (20%),Sterling Exploration and Energy Production Limited (80%);Allene Energy (20%),Nigeria,operating,,,16.87,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Anieze_Oil_and_Gas_Field_(Nigeria),operating
Anyala-Madu,,gas_extraction_area,FIRST Exploration & Production (40%);Nigerian National Petroleum Corporation (60%),FIRST Exploration and Petroleum Development Company Ltd. (40%);Nigerian National Petroleum Corporation (60%),Nigeria,operating,2020,,10.79,million boe/y,point,4.0105,5.836,,https://www.gem.wiki/Anyala-Madu_Oil_and_Gas_Field_(Nigeria),operating
Anz,,gas_extraction_area,,,Nigeria,operating,,,2.09,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Anz_Oil_and_Gas_Field_(Nigeria),operating
Area 1,,gas_extraction_area,,,Mozambique,in development,2023 (expected),,,,point,-10.97,40.846,,https://www.gem.wiki/Area_1_Gas_Block_(Mozambique),construction_plus
Area 4,,gas_extraction_area,,,Mozambique,operating,,,,,point,-10.916,41.115,,https://www.gem.wiki/Area_4_Gas_Block_(Mozambique),operating
Asabo,,gas_extraction_area,,,Nigeria,operating,,,6.25,million boe/y,point,4.096,7.772,,https://www.gem.wiki/Asabo_Oil_and_Gas_Field_(Nigeria),operating
Ashaka,,gas_extraction_area,,,Nigeria,operating,,,3.67,million boe/y,point,4.0987,8.0072,,https://www.gem.wiki/Ashaka_Oil_and_Gas_Field_(Nigeria),operating
Assa North-Ohaji South,,gas_extraction_area,Nigerian Petroleum Development Company (57.5%);Seplat Petroleum (20%);Shell Petroleum Development Company of Nigeria (15%);Eni S.P.A. (2.5%);TotalEnergies (5%),Nigerian National Petroleum Corporation (57.5%);Seplat Petroleum (20%);Nigerian National Petroleum Corporationand Nigerian Agip Oil Company limited (NAOC) 5% (8.2%);Shell plc (4.5%);TotalEnergies (1.5%);Eni (0.8%);Eni S.P.A. (2.5%);TotalEnergies (5%),Nigeria,in development,2021 (expected),,,,point,6.8501,5.438,,https://www.gem.wiki/Assa_North-Ohaji_South_Oil_and_Gas_Project_(Nigeria),construction_plus
Assil,,gas_extraction_area,Egyptian General Petroleum Corporation (EGPC);Shell Egypt,Egyptian General Petroleum Corporation (EGPC);Shell plc,Egypt,operating,,,,,point,27.219,30.232,,https://www.gem.wiki/Assil_Oil_and_Gas_Field_(Egypt),operating
Atoll,,gas_extraction_area,BP (100%),BP P.L.C. (100%),Egypt,operating,2018,,23.11,million boe/y,point,32.226,31.886,,https://www.gem.wiki/Atoll_Oil_and_Gas_Field_(Egypt),operating
Atoll Phase 2,,gas_extraction_area,,,Egypt,in development,2021 (expected),,,,point,32.225,31.9,,https://www.gem.wiki/Atoll_Phase_2_Oil_and_Gas_Field_(Egypt),construction_plus
Awawa,,gas_extraction_area,ExxonMobil;Nigerian National Petroleum Corporation,ExxonMobil Corporation;Nigerian National Petroleum Corporation,Nigeria,operating,,,3.31,million boe/y,point,3.9184,7.4534,,https://www.gem.wiki/Awawa_Oil_and_Gas_Field_(Nigeria),operating
Awoba (Eroton),,gas_extraction_area,Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Nigeria,operating,,,6.94,million boe/y,point,4.536,6.811,,https://www.gem.wiki/Awoba_(Eroton)_Oil_and_Gas_Field_(Nigeria),operating
Awoba/Ekulama 1 & 2 (Newcross),,gas_extraction_area,Newcross (45%);Nigerian National Petroleum Corporation (55%),Newcross Petroleum Limited (45%);Nigerian National Petroleum Corporation (55%),Nigeria,operating,1972,,10.05,million boe/y,point,4.536,6.811,,https://www.gem.wiki/AwobaEkulama_1_&_2_(Newcross)_Oil_and_Gas_Project_(Nigeria),operating
Azuzuama,,gas_extraction_area,,,Nigeria,operating,,,1.84,million boe/y,point,4.727,5.904,,https://www.gem.wiki/Azuzuama_Oil_and_Gas_Field_(Nigeria),operating
Bahga,,gas_extraction_area,Egyptian General Petroleum Corporation (EGPC);Shell Egypt,Egyptian General Petroleum Corporation (EGPC);Shell plc,Egypt,operating,,,,,point,29.271,28.371,,https://www.gem.wiki/Bahga_Oil_and_Gas_Field_(Egypt),operating
Bahr Es Salam (Structures A&E),,gas_extraction_area,,,Libya,in development,2026,,,,point,33.77,12.658,,https://www.gem.wiki/Bahr_Es_Salam_(Structures_A&E)_Oil_and_Gas_Field_(Libya),construction_plus
Bahr Es Salam (Structures B&C),,gas_extraction_area,Mellitah Oil & Gas (100%),Eni (15%);National Oil Corporation (Libya) (85%),Libya,operating,2005,,79.66,million boe/y,point,33.757,12.678,,https://www.gem.wiki/Bahr_Es_Salam_Gas_Field_(Libya),operating
Baleine Phase 1,,gas_extraction_area,,,Côte d'Ivoire,in development,2023 (expected),,,,point,6.1101,-5.5376,,https://www.gem.wiki/Baleine_Phase_1_Oil_Field_(Côte_d'Ivoire),construction_plus
Baleine Phase 2,,gas_extraction_area,,,Côte d'Ivoire,discovered,2027 (expected),,,,point,6.1101,-5.5376,,https://www.gem.wiki/Baleine_Phase_2_Oil_and_Gas_Field_(Côte_d'Ivoire),proposed_plus
Baltim South West,,gas_extraction_area,Eni S.P.A. (50%);BP (50%),Eni S.P.A. (50%);BP P.L.C. (50%),Egypt,operating,2019,,18.35,million boe/y,point,32.102,31.05,,https://www.gem.wiki/Baltim_South_West_Oil_and_Gas_Field_(Egypt),operating
Banda,,gas_extraction_area,,,Mauritania,shut in,,,,,point,17.759,-16.586,,https://www.gem.wiki/Banda_Gas_Field_(Mauritania),mothballed_plus
Bashrush,,gas_extraction_area,,,Egypt,discovered,,,1.95,million boe/y,point,27.219,30.232,,https://www.gem.wiki/Bashrush_Oil_and_Gas_Field_(Egypt),proposed_plus
Batan (NPDC),,gas_extraction_area,,,Nigeria,operating,,,4.80,million boe/y,point,5.5736,5.4804,,https://www.gem.wiki/Batan_(NPDC)_Oil_and_Gas_Field_(Nigeria),operating
Batan (Naconde),,gas_extraction_area,,,Nigeria,operating,,,3.92,million boe/y,point,5.5736,5.4804,,https://www.gem.wiki/Batan_(Naconde)_Oil_and_Gas_Field_(Nigeria),operating
Bed-2,,gas_extraction_area,,,Egypt,operating,,,,,point,30.26,26.66,,https://www.gem.wiki/Bed-2_Oil_and_Gas_Field_(Egypt),operating
Bed-3,,gas_extraction_area,,,Egypt,operating,,,5.47,million boe/y,point,29.76,27.878,,https://www.gem.wiki/Bed-3_Oil_and_Gas_Field_(Egypt),operating
Belayim Marine,,gas_extraction_area,Eni S.P.A. (50%);Egyptian General Petroleum Corporation (EGPC) (50%),Eni S.P.A. (50%);Egyptian General Petroleum Corporation (EGPC) (50%),Egypt,operating,1962,,8.69,million boe/y,point,28.616,33.202,,https://www.gem.wiki/Belayim_Marine_Oil_and_Gas_Field_(Egypt),operating
Belema,,gas_extraction_area,,,Nigeria,operating,,,6.23,million boe/y,point,4.4,6.616,,https://www.gem.wiki/Belema_Oil_and_Gas_Field_(Nigeria),operating
Benin River,,gas_extraction_area,,,Nigeria,operating,,,2.35,million boe/y,point,5.8731,5.1888,,https://www.gem.wiki/Benin_River_Oil_and_Gas_Field_(Nigeria),operating
Benisede,,gas_extraction_area,Shell (30%);Nigerian National Petroleum Corporation (55%);TotalEnergies (10%);Eni S.P.A. (5%),Shell plc (30%);Nigerian National Petroleum Corporation (55%);TotalEnergies (10%);Eni S.P.A. (5%),Nigeria,operating,1976,,3.55,million boe/y,point,5.027,5.665,,https://www.gem.wiki/Benisede_Oil_and_Gas_Field_(Nigeria),operating
Berkine South,,gas_extraction_area,,,Algeria,operating,2022,,2.15,million boe/y,point,30.878,7.955,,https://www.gem.wiki/Berkine_South_Gas_Field_(Algeria),operating
BirAllah,,gas_extraction_area,,,Mauritania,discovered,2028 (expected),,,,point,16.291,-16.989,,https://www.gem.wiki/BirAllah_Oil_and_Gas_Field_(Mauritania),proposed_plus
Block 1 and Block 4,,gas_extraction_area,,,Tanzania,discovered,,,,,point,-6.4623,36.119,,https://www.gem.wiki/Block_1_and_Block_4_Oil_and_Gas_Asset_(Tanzania),proposed_plus
Block 2,,gas_extraction_area,,,Tanzania,discovered,,,,,point,-6.4623,36.119,,https://www.gem.wiki/Block_2_Oil_and_Gas_Asset_(Tanzania),proposed_plus
Block 3/05,,gas_extraction_area,,,Angola,operating,,,77.74,million boe/y,point,-7.074,12.338,,https://www.gem.wiki/Block_3/05_Oil_Complex_(Angola),operating
Bonga,,gas_extraction_area,Shell (55%);Esso (20%);TotalEnergies (12.5%);Agip (12.5%),Shell plc (55%);ExxonMobil Corporation (20%);TotalEnergies (12.5%);Eni S.P.A. (12.5%),Nigeria,operating,2005,,158.28,million boe/y,point,4.498,4.668,,https://www.gem.wiki/Bonga_Oil_and_Gas_Field_(Nigeria),operating
Bonga Southwest Aparo,,gas_extraction_area,Shell Petroleum Development Company of Nigeria (55%);Esso (20%);TotalEnergies (12.5%);Agip (12.5%),Nigerian National Petroleum Corporationand Nigerian Agip Oil Company limited (NAOC) 5% (30.3%);Shell plc (16.5%);TotalEnergies (5.5%);Eni (2.8%);ExxonMobil Corporation (20%);TotalEnergies (12.5%);Eni S.P.A. (12.5%),Nigeria,in development,2026 (expected),,,,point,4.4634,4.5306,,https://www.gem.wiki/Bonga_Southwest_Aparo_Oil_and_Gas_Field_(Nigeria),construction_plus
Bouri,,gas_extraction_area,Eni S.P.A. (30%);National Oil Corporation (Libya) (70%),Eni S.P.A. (30%);National Oil Corporation (Libya) (70%);National Oil Corporation (Libya) (70%),Libya,operating,1988,,67.13,million boe/y,point,34.013,12.468,,https://www.gem.wiki/Bouri_Oil_and_Gas_Field_(Libya),operating
Brulpadda,,gas_extraction_area,TotalEnergies (45%);QatarEnergy (25%);CNR International (20%);Main Street (10%),TotalEnergies (45%);QatarEnergy (25%);Canadian Natural Resources Limited (20%);Africa Energy Corp. (4.9%),South Africa,in development,2027 (expected),,,,point,-35.88,22.821,,https://www.gem.wiki/Brulpadda_Oil_and_Gas_Field_(South_Africa),construction_plus
Buguma Creek,,gas_extraction_area,Eroton Exploration & Production Company (45%);Sahara Field Production Limited (16.2%);San Leon Energy PLC (9.7%);other (29.1%),Eroton Exploration & Production Company (45%);Asharami Energy (16.2%);San Leon Energy PLC (9.7%),Nigeria,in development,,,,,point,4.753,6.9047,,https://www.gem.wiki/Buguma_Creek_Oil_and_Gas_Field_(Nigeria),construction_plus
Calub,,gas_extraction_area,,,Ethiopia,shut in,,,,,point,6.266,44.617,,https://www.gem.wiki/Calub_Gas_Field_(Ethiopia),mothballed_plus
Calub/Hilala,,gas_extraction_area,,,Ethiopia,shut in,2027 (expected),,,,point,6.206,44.135,,https://www.gem.wiki/Calub/Hilala_Gas_Complex_(Ethiopia),mothballed_plus
Cameia/Golfinho,,gas_extraction_area,,,Angola,in development,2027 (expected),,,,point,-12.139,15.713,,https://www.gem.wiki/Cameia/Golfinho_Oil_and_Gas_Project_(Angola),construction_plus
Cawthorne Channel,,gas_extraction_area,Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Eroton Exploration & Production Company (45%);Nigerian National Petroleum Corporation (55%),Nigeria,operating,,,0.55,million boe/y,point,4.5514,7.0457,,https://www.gem.wiki/Cawthorne_Channel_Oil_and_Gas_Field_(Nigeria),operating
Central Area Field Complex (CAFC),,gas_extraction_area,Eni S.P.A. (75%),Eni S.P.A. (75%),Algeria,operating,2017,,1.67,million boe/y,point,26.418,9.0796,,https://www.gem.wiki/Central_Area_Field_Complex_(CAFC)_Oil_and_Gas_Complex_(Algeria),operating
Clough Creek,,gas_extraction_area,,,Nigeria,operating,,,1.46,million boe/y,point,4.8633,5.6844,,https://www.gem.wiki/Clough_Creek_Oil_and_Gas_Field_(Nigeria),operating
Coral/Coral South,,gas_extraction_area,,,Mozambique,operating,2022,,,,point,-11.18,41.319,,https://www.gem.wiki/CoralCoral_South_Gas_Field_(Mozambique),operating
Dahra,,gas_extraction_area,Waha Oil Company (100%),National Oil Corporation (Libya) (59.2%);Conoco Phillips Co (nan%);Marathon Oil (nan%);Hess Corporation (nan%),Libya,operating,,,43.80,million boe/y,point,29.482,17.926,,https://www.gem.wiki/Dahra_Oil_Field_(Libya),operating
Delta,,gas_extraction_area,Chevron (40%),Chevron Corporation (40%),Nigeria,operating,,,3.14,million boe/y,point,5.65,5.167,,https://www.gem.wiki/Delta_Oil_and_Gas_Field_(Nigeria),operating
Delta South,,gas_extraction_area,,,Nigeria,operating,,,2.59,million boe/y,point,5.6088,5.1354,,https://www.gem.wiki/Delta_South_Oil_and_Gas_Field_(Nigeria),operating
Denise,,gas_extraction_area,,,Egypt,operating,,,,,point,31.717,32.284,,https://www.gem.wiki/Denise_Gas_Field_(Egypt),operating
Dibi,,gas_extraction_area,Chevron (40%);Nigerian National Petroleum Corporation (60%),Chevron Corporation (40%);Nigerian National Petroleum Corporation (60%),Nigeria,operating,1998,,14.59,million boe/y,point,5.8214,5.2113,,https://www.gem.wiki/Dibi_Oil_and_Gas_Field_(Nigeria),operating
Dohar,,gas_extraction_area,,,Ethiopia,discovered,,,,,point,6.158,44.211,,https://www.gem.wiki/Dohar_Gas_Field_(Ethiopia),proposed_plus
Ea,,gas_extraction_area,Nigerian National Petroleum Corporation (55%);Shell (30%);TotalEnergies E&P Nigeria Limited (10%);Eni S.P.A. (5%),Nigerian National Petroleum Corporation (55%);Shell plc (30%);TotalEnergies (10%);Eni S.P.A. (5%),Nigeria,operating,2002,,21.14,million boe/y,point,4.813,5.349,,https://www.gem.wiki/Ea_Oil_and_Gas_Field_(Nigeria),operating
Ebendo/Obodeti,,gas_extraction_area,,,Nigeria,operating,,,3.16,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Ebendo_Obodeti_Oil_and_Gas_Project_(Nigeria),operating
Ebocha,,gas_extraction_area,,,Nigeria,operating,,,1.87,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Ebocha_Oil_and_Gas_Field_(Nigeria),operating
Ebok,,gas_extraction_area,Oriental Energy Resources Limited (100%),Oriental Energy Resources Limited (100%),Nigeria,operating,2011,,15.54,million boe/y,point,4.099,8.153,,https://www.gem.wiki/Ebok_Oil_and_Gas_Field_(Nigeria),operating
Ebughu,,gas_extraction_area,,,Nigeria,operating,,,1.73,million boe/y,point,4.282,8.3517,,https://www.gem.wiki/Ebughu_Oil_and_Gas_Field_(Nigeria),operating
Edikan,,gas_extraction_area,Nigerian National Petroleum Corporation (60%);TotalEnergies (40%),Nigerian National Petroleum Corporation (60%);TotalEnergies (40%),Nigeria,operating,,,4.85,million boe/y,point,4.0365,7.693,,https://www.gem.wiki/Edikan_Oil_and_Gas_Field_(Nigeria),operating
Edop,,gas_extraction_area,ExxonMobil (40%);Nigerian National Petroleum Corporation (60%),ExxonMobil Corporation (40%);Nigerian National Petroleum Corporation (60%),Nigeria,operating,,,7.86,million boe/y,point,4.1496,7.9749,,https://www.gem.wiki/Edop_Oil_and_Gas_Field_(Nigeria),operating
Egbaoma,,gas_extraction_area,,,Nigeria,operating,,,1.83,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Egbaoma_Oil_and_Gas_Field_(Nigeria),operating
Egwa,,gas_extraction_area,Neconde Energy Limited (45%);Kulczyk Oil Ventures (9%);other (46%),Neconde Energy Limited (45%);Serinus Energy PLC (9%),Nigeria,operating,1969,,1.11,million boe/y,point,5.622,5.437,,https://www.gem.wiki/Egwa_Oil_and_Gas_Field_(Nigeria),operating
Ekedei,,gas_extraction_area,,,Nigeria,in development,,,,,point,6.239,4.9687,,https://www.gem.wiki/Ekedei_Oil_and_Gas_Field_(Nigeria),construction_plus
Ekpe,,gas_extraction_area,,,Nigeria,operating,,,1.47,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Ekpe_Oil_and_Gas_Field_(Nigeria),operating
Eku,,gas_extraction_area,,,Nigeria,operating,,,1.31,million boe/y,point,4.251,8.052,,https://www.gem.wiki/Eku_Oil_and_Gas_Field_(Nigeria),operating
El Feel (Elephant),,gas_extraction_area,National Oil Corporation (Libya) (62.7%);Eni S.P.A. (33.3%);Other (4%),National Oil Corporation (Libya) (62.7%);National Oil Corporation (Libya) (62.7%);Eni S.P.A. (33.3%);Other (4%),Libya,shut in,2004,,51.19,million boe/y,point,26.072,12.195,,https://www.gem.wiki/El_Feel_(Elephant)_Oil_Field_(Libya),mothballed_plus
El Kuran,,gas_extraction_area,,,Ethiopia,discovered,,,,,point,4.751,42.072,,https://www.gem.wiki/El_Kuran_Gas_Field_(Ethiopia),proposed_plus
El Merk (EMK),,gas_extraction_area,Sonatrach (37.7%);Occidental Petroleum Corporation (18.1%);TotalEnergies (9%);PT Pertamina (16.9%);Other (18.2%),Sonatrach SPA (37.7%);Occidental Petroleum Corporation (18.1%);TotalEnergies (9%);PT Pertamina (Persero) (16.9%);Other (18.2%),Algeria,operating,2013,,74.68,million boe/y,point,30.144,8.73,,https://www.gem.wiki/El_Merk_(EMK)_Oil_and_Gas_Field_(Algeria),operating
Enang,,gas_extraction_area,,,Nigeria,operating,,,3.60,million boe/y,point,4.193,7.892,,https://www.gem.wiki/Enang_Oil_and_Gas_Field_(Nigeria),operating
Enang West,,gas_extraction_area,,,Nigeria,operating,,,2.05,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Enang_West_Oil_and_Gas_Field_(Nigeria),operating
Erha/Erha North,,gas_extraction_area,ExxonMobil (56.2%);Shell Nigeria Exploration & Production Co. Ltd. (43.8%),ExxonMobil Corporation (56.2%);Shell plc (43.8%),Nigeria,operating,2006,,131.20,million boe/y,point,5.372,4.343,,https://www.gem.wiki/ErhaErha_North_Oil_and_Gas_Field_(Nigeria),operating
Espoir,,gas_extraction_area,,,Côte d'Ivoire,operating,2002,,,,point,5.004,-4.465,,https://www.gem.wiki/Espoir_Oil_Field_(Côte_d'Ivoire),operating
Etelebou,,gas_extraction_area,Shell Petroleum Development Company of Nigeria (30%);Nigerian National Petroleum Corporation (55%);TotalEnergies E&P Nigeria Limited (10%);Nigerian Agip Oil Company (5%),Nigerian National Petroleum Corporationand Nigerian Agip Oil Company limited (NAOC) 5% (16.5%);Shell plc (9%);TotalEnergies (3%);Eni (1.5%);Nigerian National Petroleum Corporation (55%);TotalEnergies (10%);Eni (5%),Nigeria,operating,,,2.56,million boe/y,point,5.025,6.347,,https://www.gem.wiki/Etelebou_Oil_and_Gas_Field_(Nigeria),operating
Etim/Etimc,,gas_extraction_area,ExxonMobil (40%);Nigerian National Petroleum Corporation (60%),ExxonMobil Corporation (40%);Nigerian National Petroleum Corporation (60%),Nigeria,operating,1972,,1.07,million boe/y,point,4.106,8.011,,https://www.gem.wiki/Etim_Etimc_Gas_Field_(Nigeria),operating
Ewan,,gas_extraction_area,Chevron (40%),Chevron Corporation (40%),Nigeria,operating,,,1.70,million boe/y,point,5.884,4.942,,https://www.gem.wiki/Ewan_Oil_and_Gas_Field_(Nigeria),operating
Farigh,,gas_extraction_area,Waha Oil Company,National Oil Corporation (Libya);Conoco Phillips Co;Marathon Oil;Hess Corporation,Libya,operating,,,8.51,million boe/y,point,28.166,21.23,,https://www.gem.wiki/Farigh_Gas_Field_(Libya),operating
Fayoum,,gas_extraction_area,BP (82.8%);Wintershall DEA (17.2%),BP P.L.C. (82.8%);BASF SE (17.2%),Egypt,in development,2019,,,,point,31.602,29.884,,https://www.gem.wiki/Fayoum_Gas_Field_(Egypt),construction_plus
Forcados Yokri,,gas_extraction_area,Shell (30%);Nigerian National Petroleum Corporation (70%),Shell plc (30%);Nigerian National Petroleum Corporation (70%),Nigeria,operating,1971,,48.01,million boe/y,point,5.3786,5.3265,,https://www.gem.wiki/Forcados_Yokri_Oil_and_Gas_Field_(Nigeria),operating
Foxtrot,,gas_extraction_area,,,Côte d'Ivoire,operating,1999,,9.36,million boe/y,point,5.0215,-4.6819,,https://www.gem.wiki/Foxtrot_Gas_Field_(Côte_d'Ivoire),operating
Frontier Oil,,gas_extraction_area,,,Nigeria,operating,,,2.22,million boe/y,point,8.6806,7.5529,,https://www.gem.wiki/Frontier_Oil_and_Gas_Field_(Nigeria),operating
Funiwa,,gas_extraction_area,,,Nigeria,operating,,,1.46,million boe/y,point,4.336,5.79,,https://www.gem.wiki/Funiwa_Oil_and_Gas_Field_(Nigeria),operating
Gassi Touil Satellite (Phase 1),,gas_extraction_area,,,Algeria,in development,2023 (expected),,,,point,30.445,6.237,,https://www.gem.wiki/Gassi_Touil_Satellite_(Phase_1)_Oil_and_Gas_Field_(Algeria),construction_plus
Gbaran-Ubie Phase 2,,gas_extraction_area,,,Nigeria,operating,2017,,62.03,million boe/y,point,4.9091,6.2877,,https://www.gem.wiki/Gbaran-Ubie_Phase_2_Oil_and_Gas_Project_(Nigeria),operating
Giligiliani,,gas_extraction_area,,,Tanzania,discovered,,,,,point,-9.177,40.032,,https://www.gem.wiki/Giligiliani_Gas_Field_(Tanzania),proposed_plus
Giza,,gas_extraction_area,BP (82.8%);Wintershall DEA (17.2%),BP P.L.C. (82.8%);BASF SE (17.2%),Egypt,operating,2019,,,,point,31.703,29.846,,https://www.gem.wiki/Giza_Gas_Field_(Egypt),operating
Golfinho-Atum,,gas_extraction_area,,,Mozambique,in development,2026 (expected),,8.64,million boe/y,point,-10.51,40.81,,https://www.gem.wiki/Golfinho-Atum_Gas_Complex_(Mozambique),construction_plus
Graff,,gas_extraction_area,,,Namibia,discovered,2027 (expected),,,,point,-28.603,14.32,,https://www.gem.wiki/Graff_Oil_Field_(Namibia),proposed_plus
Great Nooros Area,,gas_extraction_area,,,Egypt,operating,2016,,,,point,31.602,31.238,,https://www.gem.wiki/Great_Nooros_Area_Gas_Complex_(Egypt),operating
Greater Plutonio,,gas_extraction_area,BP (46%);Sinopec International (37.7%);Sonangol Pesquisa e Produção (16.3%),BP P.L.C. (46%);Sinopec Group (37.7%);Sonangol Group (16.3%),Angola,operating,2007,,110.05,million boe/y,point,-7.985,12.328,,https://www.gem.wiki/Greater_Plutonio_Oil_Project_(Angola),operating
HA,,gas_extraction_area,Shell (30%),Shell plc (30%),Nigeria,in development,2024 (expected),,,,point,4.151,6.201,,https://www.gem.wiki/HA_Oil_and_Gas_Field_(Nigeria),construction_plus
